name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	129	93	0.0
Azorhizobium	6	genus	5369772	29	0	0.0
Azorhizobium caulinodans	7	species	5369772	61	0	0.0
Buchnera aphidicola	9	species	602805	139	49	0.0
Cellvibrio	10	genus	4576573	23	0	0.0
Cellulomonas gilvus	11	species	3526441	27	0	0.0
Dictyoglomus thermophilum	14	species	1959987	3	0	0.0
Methylophilus	16	genus	0	8	0	0.0
Pelobacter	18	genus	3953506	24	0	0.0
Pelobacter carbinolicus	19	species	3665893	4	0	0.0
Phenylobacterium	20	genus	4379231	51	0	0.0
Shewanella	22	genus	5140018	262	37	0.0
Shewanella putrefaciens	24	species	4749735	743	84	4.05792e-05
Myxococcales	29	order	9638245	481	0	0.0
Myxococcaceae	31	family	9636120	58	0	0.0
Myxococcus	32	genus	9487953	123	0	0.0
Myxococcus xanthus	34	species	9139763	2253	378	0.0
Myxococcus macrosporus	35	species	8973512	1097	264	0.0
Archangiaceae	39	family	10085598	88	0	0.0
Stigmatella	40	genus	10260756	8	0	0.0
Stigmatella aurantiaca	41	species	10260756	33	0	0.0
Cystobacter	42	genus	0	11	0	0.0
Cystobacter fuscus	43	species	12349744	1275	727	0.0
Melittangium	44	genus	9910441	18	0	0.0
Archangium	47	genus	0	15	0	0.0
Archangium gephyra	48	species	12489432	1245	776	0.0
Polyangiaceae	49	family	13907952	29	0	0.0
Chondromyces	50	genus	0	11	0	0.0
Chondromyces crocatus	52	species	11388132	1009	723	0.0
Sorangium cellulosum	56	species	13907952	4519	2011	0.0
Vitreoscilla	59	genus	0	51	0	0.0
Vitreoscilla filiformis	63	species	3787551	1342	805	1.65011e-05
Lysobacter	68	genus	0	318	0	0.0
Lysobacter enzymogenes	69	species	12227539	2336	1212	0.0
Simonsiella muelleri	72	species	2469862	4	0	0.0
Caulobacter	75	genus	4238499	219	1	0.0
Hyphomicrobium	81	genus	3700497	66	0	0.0
Hyphomonas	85	genus	3705021	56	0	0.0
Leptothrix	88	genus	4909403	89	0	0.0
Stella	93	genus	0	32	0	0.0
Stella humosa	94	species	5832650	1523	1071	0.0
Gallionella	96	genus	3162471	8	0	0.0
Ancylobacter	99	genus	0	41	0	0.0
Cyclobacterium marinum	104	species	6221273	8	0	0.0
Runella	105	genus	0	9	0	0.0
Spirosoma	107	genus	0	21	2	0.0
Planctomycetales	112	order	5733343	70	0	0.0
Gemmata	113	genus	0	29	0	0.0
Gemmata obscuriglobus	114	species	17998094	1950	1035	0.0
Planctomyces	118	genus	0	23	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	10	0	0.0
Gimesia maris	122	species	15634937	786	241	0
Pirellula staleyi	125	species	6196199	4	0	0.0
Planctomycetaceae	126	family	5733343	28	0	0.0
Isosphaera	127	genus	5529304	6	0	0.0
Isosphaera pallida	128	species	5529304	18	0	0.0
Methylocystis	133	genus	0	115	0	0.0
Methylocystis parvus	134	species	4529043	2853	2407	7.54813e-05
Spirochaetales	136	order	1876294	53	0	0.0
Spirochaetaceae	137	family	2749897	15	0	0.0
Borrelia	138	genus	1176628	11	4	0.0
Borreliella burgdorferi	139	species	1329613	85	22	0.0
Borrelia hermsii	140	species	1156143	11	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	1165365	68	4	0.0
Spirochaeta	146	genus	2772907	2	0	0.0
Spirochaeta thermophila	154	species	2516433	5	0	0.0
Treponema	157	genus	2490077	8	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	192	12	0.0
Treponema pallidum subsp. pallidum	161	subspecies	1139838	17	0	0.0
Treponema phagedenis	162	species	17151030	521	24	0.0
Leptospiraceae	170	family	5274184	5	0	0.0
Leptospira	171	genus	5319704	25	7	0.0
Leptospira biflexa	172	species	3953768	2	0	0.0
Leptospira interrogans	173	species	6128534	382	226	0.0
Leptospira borgpetersenii	174	species	4736323	56	14	0.0
Leptospira interrogans serovar Hardjo	176	leaf	4742398	22	2	0.0
Leptospirillum	179	genus	2432093	7	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	6	0	0.0
Aquaspirillum	187	genus	0	24	0	0.0
Azospirillum	191	genus	7223069	497	21	0.0
Azospirillum brasilense	192	species	50779208	7911	1348	0.0
Azospirillum lipoferum	193	species	7223069	95	0	0.0
Campylobacter	194	genus	2403822	81	24	0.0
Campylobacter coli	195	species	1776238	569	184	6.73817e-05
Campylobacter fetus	196	species	2065164	130	94	0.0
Campylobacter jejuni	197	species	3124996	850	314	9.72604e-32
Campylobacter hyointestinalis	198	species	1755214	80	0	0.0
Campylobacter concisus	199	species	2099413	202	103	0.0
Campylobacter curvus	200	species	1971270	79	0	0.0
Campylobacter lari	201	species	1565468	393	124	0.0
Campylobacter showae	204	species	2160580	90	54	0.0
Campylobacter sputorum	206	species	1746988	143	47	0.0
Helicobacter	209	genus	1715890	25	1	0.0
Helicobacter pylori	210	species	1700965	829	369	0.0
Helicobacter acinonychis	212	species	1557588	1	0	0.0
Helicobacter cinaedi	213	species	2170766	198	44	0.0
Helicobacter felis	214	species	1672681	2	0	0.0
